koridor,koridor_no,rute_koridor,nama_halte,lokasi_halte,dibangun_tahun,keterangan,lat,long
Koridor 10,10,Cililitan - Tanjung Priok,Cempaka Mas 2,Jl.A.Yani,2008,Pelican,-6.1748522,106.8647918
Koridor 10,10,Cililitan - Tanjung Priok,Yos Sudarso Kodamar,Jl.Yos Sudarsono,2008,JPO Baru Baja (Ramp Semua),-6.1620431,106.879496
Koridor 10,10,Cililitan - Tanjung Priok,Sunter Kelapa gading,Jl.Yos Sudarsono,2008,JPO Baru Baja (Tangga-Ramp-Ramp),-6.1426647,106.8886113
Koridor 10,10,Cililitan - Tanjung Priok,Plumpang Pertamina,Jl.Yos Sudarsono,2008,JPO Baru Baja (Tangga Semua),-6.1279673,106.8918457
Koridor 10,10,Cililitan - Tanjung Priok,Walikota Jakarta utara,Jl.Yos Sudarsono,2008,JPO Beton Eksisting (Tangga-Ramp-Tangga),-6.1188247,106.8911313
Koridor 10,10,Cililitan - Tanjung Priok,Permai Koja,Jl.Yos Sudarsono,2008,JPO Beton Eksisting (Tangga-Ramp-Tangga),-6.1140847,106.8909113
Koridor 10,10,Cililitan - Tanjung Priok,Enggano,Jl.Enggano,2008,Pelican,-6.1101484,106.8902301
Koridor 10,10,Cililitan - Tanjung Priok,Terminal Tanjung Priok,Jl.Enggano,2008,Pelican,-6.1095447,106.8791913
Koridor 11,11,Pulogebang - Kampung Melayu,Walikota Jakarta Timur,Jl.Sentra Primer Timur,2011,JPO Baru Baja (Ramp Semua),-6.2125047,106.9431813
Koridor 11,11,Pulogebang - Kampung Melayu,Penggilingan,Jl.Sentra Primer Timur,2011,JPO Baru Baja (Ramp Semua),-6.2141428,106.9374249
Koridor 11,11,Pulogebang - Kampung Melayu,Perumnas kalender,Jl.I.Gusti Ngurah Rai,2011,JPO Baru Baja (Tangga-Ramp-Tangga),-6.216684,106.928354
Koridor 11,11,Pulogebang - Kampung Melayu,Flyover Buaran,Jl.I.Gusti Ngurah Rai,2011,JPO Baru Baja (Ramp-Ramp-Tangga),-6.2168105,106.9219293
Koridor 11,11,Pulogebang - Kampung Melayu,Buaran,Jl.I.Gusti Ngurah Rai,2011,JPO Baru Baja (Tangga-Ramp-Tangga),-6.2151147,106.9154813
Koridor 11,11,Pulogebang - Kampung Melayu,Kampung Sumur,Jl.I.Gusti Ngurah Rai,2011,JPO Baru Baja (Tangga-Ramp-Tangga),-6.2153493,106.9102886
Koridor 11,11,Pulogebang - Kampung Melayu,Fly Over Kalender,Jl.I.Gusti Ngurah Rai,2011,JPO Baru Baja (Tangga-Ramp-Tangga),-6.214624,106.9007614
Koridor 11,11,Pulogebang - Kampung Melayu,Stasiun Kalender,Jl.I.Gusti Ngurah Rai,2011,JPO Baru Baja (Tangga-Ramp-Tangga),-6.21456,106.8991842
Koridor 11,11,Pulogebang - Kampung Melayu,Cipinang,Jl.Bekasi Timur,2011,JPO Baru Baja (Tangga-Ramp-Tangga),-6.2144427,106.8875005
Koridor 11,11,Pulogebang - Kampung Melayu,Imigrasi,Jl.Bekasi Timur,2011,JPO Eksisting (Tangga-Ramp-Tangga),-6.2144321,106.8840458
Koridor 11,11,Pulogebang - Kampung Melayu,Pasar Enjo,Jl.Bekasi Timur,2011,JPO Eksisting (Tangga-Ramp-Tangga),-6.215392,106.8760314
Koridor 11,11,Pulogebang - Kampung Melayu,Fly Over Jatinegara,Jl.Bekasi Timur,2011,JPO Baru Baja (Tangga-Ramp-Tangga),-6.2159253,106.8715682
Koridor 11,11,Pulogebang - Kampung Melayu,Stasiun Jatinegara,Jl.Bekasi Timur,2011,JPO Baru Baja (Tangga-Ramp-Tangga),-6.2159999,106.8706348
Koridor 11,11,Pulogebang - Kampung Melayu,Rumah Sakit Primier,Jl.Jatinegara Timur,2011,JPO Eksisting (Tangga-Ramp-Tangga),-6.2213932,106.8657802
Koridor 11,11,Pulogebang - Kampung Melayu,Kampung Melayu,Terminal Kp Melayu,2011,Pelican,-6.2247422,106.8661879
Koridor 12,12,Pluit - Tanjung Priok,PLUIT LANDMARK,JL.PLUIT RAYA,2012,JPO BAJA / PEMBANGUNAN BARU ( RAMP SEMUA ),-6.1252174,106.7975244
Koridor 12,12,Pluit - Tanjung Priok,PAKIN,JL.PLUIT RAYA,2012,JPO BAJA / PEMBANGUNAN BARU ( RAMP SEMUA ),-6.1277947,106.8024613
Koridor 12,12,Pluit - Tanjung Priok,GEDONG PANJANG,JL.GEDONG PANJANG,2012,JPO BAJA / PEMBANGUNAN BARU ( RAMP SEMUA ),-6.1326047,106.8037613
Koridor 12,12,Pluit - Tanjung Priok,MUSEUM FATAHILLAH,JL.KOPI,2012,PELICAN,-6.1338647,106.8099413
Koridor 12,12,Pluit - Tanjung Priok,PANGERAN JAYAKARTA,JL.MANGGA DUA,2012,JPO BAJA / PEMBANGUNAN BARU ( RAMP SEMUA ),-6.1375949,106.8157016
Koridor 12,12,Pluit - Tanjung Priok,MANGGA DUA,JL.MANGGA DUA,2012,JPO BAJA / EKSISTING ( TANGGA SEMUA ),-6.13616,106.8237713
Koridor 12,12,Pluit - Tanjung Priok,KALIBESAR BARAT,JL.KALIBESAR BARAT,2012,PELICAN,-6.1353047,106.8092813
Koridor 12,12,Pluit - Tanjung Priok,PEKOJAN,JL.BANDENGAN,2012,JPO BAJA / EKSISTING ( TANGGA SEMUA ),-6.1352779,106.8027152
Koridor 12,12,Pluit - Tanjung Priok,KEMAYORAN LANDASAN PACU TIMUR,JL.SUNTER BARAT,2012,JPO BAJA / PEMBANGUNAN BARU ( RAMP SEMUA ),-6.1521628,106.8520117
Koridor 12,12,Pluit - Tanjung Priok,DANAU SUNTER BARAT,JL.SUNTER,2012,JPO BAJA / PEMBANGUNAN BARU ( RAMP SEMUA ),-6.1450268,106.8576234
Koridor 12,12,Pluit - Tanjung Priok,SUNTER SMP 140,JL.SUNTER,2012,JPO BAJA / PEMBANGUNAN BARU ( RAMP SEMUA ),-6.1397547,106.8569913
Koridor 12,12,Pluit - Tanjung Priok,SUNTER KARYA,JL.SUNTER,2012,JPO BAJA / EKSISTING ( TANGGA SEMUA ),-6.1388444,106.8643758
Koridor 12,12,Pluit - Tanjung Priok,SUNTER BOULEVARD BARAT,JL.YOS SUDARSO,2012,JPO BAJA / PEMBANGUNAN BARU ( RAMP SEMUA ),-6.1495708,106.886391
Koridor 13,13,Ciledug - Tendean,CILEDUG,,2017,,-6.2317944,106.7348432
Koridor 13,13,Ciledug - Tendean,PURI BETA 2,,2017,,-6.2317944,106.7348432
Koridor 13,13,Ciledug - Tendean,PURI BETA 1,,2017,,-6.2317944,106.7348432
Koridor 13,13,Ciledug - Tendean,ADAM MALIK,,2017,,-6.2317944,106.7348432
Koridor 13,13,Ciledug - Tendean,JORR,,2017,,-6.2317944,106.7348432
Koridor 13,13,Ciledug - Tendean,SWADARMA,,2017,,-6.2372738,106.748485
Koridor 13,13,Ciledug - Tendean,CIPULIR,,2017,,-6.2372738,106.748485
Koridor 13,13,Ciledug - Tendean,SESKOAL,,2017,,-6.2372738,106.748485
Koridor 13,13,Ciledug - Tendean,KEBAYORAN LAMA,,2017,,-6.2372738,106.748485
Koridor 13,13,Ciledug - Tendean,VELBAK,,2017,,-6.2396965,106.7826486
Koridor 13,13,Ciledug - Tendean,MAYESTIK,,2017,,-6.2416823,106.7884005
Koridor 13,13,Ciledug - Tendean,TIRTAYASA,,2017,,-6.2400627,106.8058483
Koridor 13,13,Ciledug - Tendean,RAWA BARAT,,2017,,-6.239604,106.8131332
Koridor 13,13,Ciledug - Tendean,TENDEAN,,2017,,-6.2401927,106.8285734
