jenis,koridor_no,trayek,jumlah_penumpang,month,month_ts
BRT,9,KORIDOR 9 (PINANG RANTI - PLUIT),344350,2020-04-01,2020-04-01T00:00:00
BRT,10,KORIDOR 10 (PGC 2 - PLUIT),168999,2020-04-01,2020-04-01T00:00:00
BRT,11,KORIDOR 11 (PULOGEBANG - KAMPUNG MELAYU),75270,2020-04-01,2020-04-01T00:00:00
BRT,12,KORIDOR 12 (PENJARINGAN - TANJUNG PRIOK),71144,2020-04-01,2020-04-01T00:00:00
BRT,13,KORIDOR 13 (CBD CILEDUG - BLOK M),120223,2020-04-01,2020-04-01T00:00:00
BRT,1,KORIDOR 1 (BLOK M - KOTA),356067,2020-05-01,2020-05-01T00:00:00
BRT,2,KORIDOR 2 (PULOGADUNG 1 - HARMONI),166491,2020-05-01,2020-05-01T00:00:01
BRT,3,KORIDOR 3 (KALIDERES - PASAR BARU),202294,2020-05-01,2020-05-01T00:00:02
BRT,4,KORIDOR 4 (PULOGADUNG 2 - DUKUH ATAS 2),124502,2020-05-01,2020-05-01T00:00:03
BRT,5,KORIDOR 5 (KAMPUNG MELAYU - ANCOL),181919,2020-05-01,2020-05-01T00:00:04
BRT,6,KORIDOR 6 (RAGUNAN - DUKUH ATAS 2),149518,2020-05-01,2020-05-01T00:00:05
BRT,7,KORIDOR 7 (KAMPUNG RAMBUTAN - KAMPUNG MELAYU),176298,2020-05-01,2020-05-01T00:00:06
BRT,8,KORIDOR 8 (LEBAK BULUS - HARMONI),189872,2020-05-01,2020-05-01T00:00:07
BRT,9,KORIDOR 9 (PINANG RANTI - PLUIT),314568,2020-05-01,2020-05-01T00:00:08
BRT,10,KORIDOR 10 (PGC 2 - PLUIT),159775,2020-05-01,2020-05-01T00:00:09
BRT,11,KORIDOR 11 (PULOGEBANG - KAMPUNG MELAYU),71947,2020-05-01,2020-05-01T00:00:10
BRT,12,KORIDOR 12 (PENJARINGAN - TANJUNG PRIOK),62269,2020-05-01,2020-05-01T00:00:11
BRT,13,KORIDOR 13 (CBD CILEDUG - BLOK M),116316,2020-05-01,2020-05-01T00:00:12
BRT,1,KORIDOR 1 (BLOK M - KOTA),716967,2020-06-01,2020-06-01T00:00:00
BRT,2,KORIDOR 2 (PULOGADUNG 1 - HARMONI),310841,2020-06-01,2020-06-01T00:00:00
BRT,3,KORIDOR 3 (KALIDERES - PASAR BARU),363967,2020-06-01,2020-06-01T00:00:00
BRT,4,KORIDOR 4 (PULOGADUNG 2 - DUKUH ATAS 2),217101,2020-06-01,2020-06-01T00:00:00
BRT,5,KORIDOR 5 (KAMPUNG MELAYU - ANCOL),303570,2020-06-01,2020-06-01T00:00:00
BRT,6,KORIDOR 6 (RAGUNAN - DUKUH ATAS 2),305676,2020-06-01,2020-06-01T00:00:00
BRT,7,KORIDOR 7 (KAMPUNG RAMBUTAN - KAMPUNG MELAYU),308886,2020-06-01,2020-06-01T00:00:00
BRT,8,KORIDOR 8 (LEBAK BULUS - HARMONI),357832,2020-06-01,2020-06-01T00:00:00
BRT,9,KORIDOR 9 (PINANG RANTI - PLUIT),578358,2020-06-01,2020-06-01T00:00:00
